date,arks,gen,sex,origin,trial,treatment,spent.sec,attack.type,leg,TBZ
19/03/2017,B70067,F2,male,QLD,1,mouse,768,P,,
20/03/2017,B70067,F2,male,QLD,1,toad,193,S,,
19/03/2017,B70068,F2,male,QLD,1,toad,86,S,,
20/03/2017,B70068,F2,male,QLD,1,mouse,794,P,,
19/03/2017,B70069,F2,male,QLD,1,mouse,332,P,,
20/03/2017,B70069,F2,male,QLD,1,toad,296,B,,
19/03/2017,B70070,F2,male,QLD,1,toad,211,S,,
20/03/2017,B70070,F2,male,QLD,1,mouse,532,B,,
19/03/2017,B70071,F2,female,QLD,1,toad,186,S,,
20/03/2017,B70071,F2,female,QLD,1,mouse,409,B,,
19/03/2017,B70084,F2,male,QLD,1,mouse,757,S,,
20/03/2017,B70084,F2,male,QLD,1,toad,275,P,,
19/03/2017,B70085,F2,male,QLD,1,toad,246,B,,
20/03/2017,B70085,F2,male,QLD,1,mouse,417,B,,
8/04/2017,B70086,F2,male,QLD,1,mouse,316,P,,
9/04/2017,B70086,F2,male,QLD,1,toad,68,B,,
19/03/2017,B70087,F2,female,QLD,1,toad,468,S,,
20/03/2017,B70087,F2,female,QLD,1,mouse,812,P,,
8/04/2017,B70088,F2,male,QLD,1,mouse,529,B,,
9/04/2017,B70088,F2,male,QLD,1,toad,677,P,,
30/03/2017,B70089,F2,female,QLD,1,toad,51,B,,
31/03/2017,B70089,F2,female,QLD,1,mouse,207,S,,
8/04/2017,B70090,F2,male,QLD,1,toad,283,P,,
9/04/2017,B70090,F2,male,QLD,1,mouse,663,P,,
